# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.002         	1.832741e-10	7.969194e+02	-4.009073e-06	-2.004353e-06	-2.004720e-06
0.004         	-2.833892e-09	5.178255e+00	3.569224e-06	1.781778e-06	1.787446e-06
0.006         	-1.549102e-09	1.259784e+01	-2.188700e-07	-1.109841e-07	-1.078859e-07
0.008         	-6.072164e-09	1.041822e+01	-7.645326e-07	-3.883385e-07	-3.761941e-07
0.01          	-1.044366e-08	9.465741e+00	4.270543e-08	1.090906e-08	3.179638e-08
0.012         	-1.404487e-08	8.700841e+00	7.153567e-08	2.172297e-08	4.981271e-08
0.014         	-1.680246e-08	8.029194e+00	1.704760e-07	6.843556e-08	1.020405e-07
0.016         	-1.878921e-08	7.442573e+00	2.531196e-07	1.077706e-07	1.453490e-07
0.018         	-2.014199e-08	6.931198e+00	1.279891e-07	4.385254e-08	8.413653e-08
0.02          	-2.098956e-08	6.484945e+00	2.386857e-07	9.835330e-08	1.403324e-07
0.022         	-2.145384e-08	6.094507e+00	1.942794e-07	7.568585e-08	1.185935e-07
0.024         	-2.163279e-08	5.751708e+00	1.865302e-07	7.163232e-08	1.148979e-07
0.026         	-2.160529e-08	5.449572e+00	1.429727e-07	4.988107e-08	9.309165e-08
0.028         	-2.143260e-08	5.182166e+00	1.899014e-07	7.351808e-08	1.163833e-07
0.03          	-2.116252e-08	4.944503e+00	3.017594e-07	1.297172e-07	1.720422e-07
0.032         	-2.083227e-08	4.732376e+00	2.128328e-07	8.558415e-08	1.272487e-07
0.034         	-2.046559e-08	4.542262e+00	2.142868e-07	8.667778e-08	1.276090e-07
0.036         	-2.008114e-08	4.371152e+00	2.176813e-07	8.875949e-08	1.289218e-07
0.038         	-1.969192e-08	4.216540e+00	2.270936e-07	9.385488e-08	1.332387e-07
0.04          	-1.930657e-08	4.076265e+00	2.227640e-07	9.207541e-08	1.306886e-07
0.042         	-1.893154e-08	3.948533e+00	2.244730e-07	9.330497e-08	1.311680e-07
0.044         	-1.857058e-08	3.831792e+00	2.356599e-07	9.925938e-08	1.364005e-07
0.046         	-1.822545e-08	3.724739e+00	2.295445e-07	9.654679e-08	1.329977e-07
0.048         	-1.789772e-08	3.626239e+00	2.379268e-07	1.010657e-07	1.368611e-07
0.05          	-1.758771e-08	3.535312e+00	2.349873e-07	9.990592e-08	1.350814e-07
0.052         	-1.729504e-08	3.451142e+00	2.362452e-07	1.008276e-07	1.354176e-07
0.054         	-1.701926e-08	3.373003e+00	2.421679e-07	1.040647e-07	1.381032e-07
0.056         	-1.675952e-08	3.300266e+00	2.383456e-07	1.024133e-07	1.359323e-07
