# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	2.182381e-10	3.289800e+02	-2.329028e-06	-1.164296e-06	-1.164732e-06
0.01          	-2.630957e-08	3.990435e+00	3.034804e-06	1.491093e-06	1.543712e-06
0.015         	-2.971940e-09	8.002538e+00	-6.615374e-07	-3.337406e-07	-3.277968e-07
0.02          	-1.201789e-08	6.705345e+00	-1.339707e-07	-7.900322e-08	-5.496744e-08
0.025         	-2.021427e-08	5.876846e+00	4.434580e-09	-1.799698e-08	2.243156e-08
0.03          	-2.653495e-08	5.213833e+00	2.635649e-07	1.052475e-07	1.583174e-07
0.035         	-3.107086e-08	4.694405e+00	4.328321e-07	1.853452e-07	2.474869e-07
0.04          	-3.417077e-08	4.283839e+00	4.102187e-07	1.709386e-07	2.392801e-07
0.045         	-3.616674e-08	3.954774e+00	4.344346e-07	1.810506e-07	2.533841e-07
0.05          	-3.734284e-08	3.686932e+00	3.095592e-07	1.174368e-07	1.921224e-07
0.055         	-3.790492e-08	3.465593e+00	6.220021e-07	2.730961e-07	3.489060e-07
0.06          	-3.803356e-08	3.280059e+00	5.294678e-07	2.267004e-07	3.027675e-07
0.065         	-3.783726e-08	3.122488e+00	5.519608e-07	2.381431e-07	3.138176e-07
0.07          	-3.740989e-08	2.987070e+00	5.700628e-07	2.476215e-07	3.224413e-07
0.075         	-9.051625e-10	2.869440e+00	7.882732e-07	3.932314e-07	3.950417e-07
0.08          	1.331681e-07	2.766266e+00	1.094549e-06	6.804424e-07	4.141062e-07
0.085         	2.297212e-07	2.675036e+00	1.236939e-06	8.481909e-07	3.887485e-07
0.09          	2.988780e-07	2.593710e+00	1.358002e-06	9.778789e-07	3.801228e-07
0.095         	3.478966e-07	2.520737e+00	1.458026e-06	1.076909e-06	3.811162e-07
0.1           	3.820166e-07	2.454848e+00	1.553894e-06	1.158963e-06	3.949303e-07
0.105         	4.050526e-07	2.395029e+00	1.635919e-06	1.223012e-06	4.129070e-07
0.11          	4.198007e-07	2.340461e+00	1.695396e-06	1.267499e-06	4.278975e-07
0.115         	4.283290e-07	2.290447e+00	1.764576e-06	1.310617e-06	4.539588e-07
0.12          	4.321761e-07	2.244432e+00	1.808798e-06	1.336575e-06	4.722230e-07
0.125         	4.324992e-07	2.201944e+00	1.865548e-06	1.365273e-06	5.002751e-07
0.13          	4.301682e-07	2.162579e+00	1.900835e-06	1.380586e-06	5.202493e-07
0.135         	4.258469e-07	2.125995e+00	1.944112e-06	1.397903e-06	5.462092e-07
0.14          	4.200392e-07	2.091915e+00	1.974091e-06	1.407084e-06	5.670061e-07
0.145         	4.131333e-07	2.060071e+00	2.001105e-06	1.413686e-06	5.874191e-07
0.15          	4.054287e-07	2.030257e+00	2.017319e-06	1.414088e-06	6.032308e-07
0.155         	3.971560e-07	2.002296e+00	2.051496e-06	1.422904e-06	6.285917e-07
0.16          	3.884947e-07	1.976004e+00	2.069960e-06	1.423475e-06	6.464853e-07
0.165         	3.795830e-07	1.951243e+00	2.074081e-06	1.416623e-06	6.574574e-07
0.17          	3.705280e-07	1.927907e+00	2.105082e-06	1.423069e-06	6.820131e-07
0.175         	3.614150e-07	1.905855e+00	2.117110e-06	1.419970e-06	6.971401e-07
0.18          	3.523076e-07	1.884993e+00	2.132940e-06	1.418778e-06	7.141625e-07
0.185         	3.432551e-07	1.865247e+00	2.144221e-06	1.415366e-06	7.288553e-07
0.19          	3.342968e-07	1.846536e+00	2.154816e-06	1.411705e-06	7.431111e-07
0.195         	3.254626e-07	1.828758e+00	2.173312e-06	1.412118e-06	7.611932e-07
0.2           	3.167731e-07	1.811879e+00	2.185199e-06	1.409373e-06	7.758266e-07
0.205         	3.082454e-07	1.795837e+00	2.182087e-06	1.399289e-06	7.827979e-07
0.21          	2.998922e-07	1.780573e+00	2.201260e-06	1.400522e-06	8.007377e-07
0.215         	2.917208e-07	1.766024e+00	2.209226e-06	1.396334e-06	8.128924e-07
0.22          	2.837335e-07	1.752164e+00	2.217361e-06	1.392414e-06	8.249472e-07
0.225         	2.759355e-07	1.738951e+00	2.209721e-06	1.380796e-06	8.289250e-07
0.23          	2.683272e-07	1.726353e+00	2.223559e-06	1.380107e-06	8.434521e-07
0.235         	2.609076e-07	1.714309e+00	2.208451e-06	1.365133e-06	8.433178e-07
0.24          	2.536772e-07	1.702816e+00	2.195176e-06	1.351265e-06	8.439107e-07
0.245         	2.466318e-07	1.691821e+00	2.172754e-06	1.333009e-06	8.397452e-07
0.25          	2.397683e-07	1.681330e+00	2.165901e-06	1.322719e-06	8.431821e-07
