# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.031589e-09	3.276751e+02	8.642294e-06	4.320115e-06	4.322178e-06
0.01          	-3.175786e-08	6.668738e+00	-1.048496e-05	-5.274239e-06	-5.210723e-06
0.015         	-2.754568e-08	7.994899e+00	1.796063e-06	8.704860e-07	9.255774e-07
0.02          	-3.739839e-08	6.738176e+00	3.238634e-07	1.245333e-07	1.993301e-07
0.025         	-4.366908e-08	6.053780e+00	3.117096e-07	1.121857e-07	1.995239e-07
0.03          	-4.654184e-08	5.473487e+00	2.427426e-07	7.482946e-08	1.679131e-07
0.035         	-4.660271e-08	4.987957e+00	4.653739e-07	1.860843e-07	2.792897e-07
0.04          	-4.443145e-08	4.582310e+00	5.739364e-07	2.425367e-07	3.313996e-07
0.045         	-4.061915e-08	4.242338e+00	6.365266e-07	2.776441e-07	3.588824e-07
0.05          	-3.572184e-08	3.955857e+00	6.214791e-07	2.750177e-07	3.464614e-07
0.055         	-3.017747e-08	3.712900e+00	6.582243e-07	2.989347e-07	3.592896e-07
0.06          	-2.433309e-08	3.505428e+00	6.771481e-07	3.142409e-07	3.629071e-07
0.065         	-1.844254e-08	3.326996e+00	6.953299e-07	3.292224e-07	3.661075e-07
0.07          	-1.268489e-08	3.172509e+00	7.098658e-07	3.422480e-07	3.676178e-07
0.075         	-7.179843e-09	3.037817e+00	7.031227e-07	3.443815e-07	3.587412e-07
0.08          	-2.005925e-09	2.919575e+00	7.280410e-07	3.620146e-07	3.660264e-07
0.085         	2.799762e-09	2.815125e+00	7.230002e-07	3.642999e-07	3.587004e-07
0.09          	7.218459e-09	2.722260e+00	7.448620e-07	3.796495e-07	3.652125e-07
0.095         	1.124534e-08	2.639222e+00	7.407889e-07	3.816398e-07	3.591491e-07
0.1           	1.489537e-08	2.564598e+00	7.561910e-07	3.929909e-07	3.632001e-07
0.105         	1.817778e-08	2.497175e+00	7.611646e-07	3.987601e-07	3.624045e-07
0.11          	2.111224e-08	2.435940e+00	7.522051e-07	3.972148e-07	3.549903e-07
0.115         	2.372090e-08	2.380170e+00	7.236835e-07	3.855627e-07	3.381209e-07
0.12          	2.602745e-08	2.329081e+00	7.514394e-07	4.017472e-07	3.496923e-07
0.125         	2.805392e-08	2.282116e+00	7.636268e-07	4.098673e-07	3.537595e-07
0.13          	2.982111e-08	2.238846e+00	7.635248e-07	4.115835e-07	3.519413e-07
0.135         	3.134998e-08	2.198797e+00	7.727267e-07	4.177134e-07	3.550134e-07
0.14          	3.266080e-08	2.161650e+00	7.711607e-07	4.182411e-07	3.529195e-07
0.145         	3.377634e-08	2.127068e+00	7.799031e-07	4.237279e-07	3.561752e-07
0.15          	3.470766e-08	2.094824e+00	7.866582e-07	4.280368e-07	3.586214e-07
0.155         	3.546847e-08	2.064670e+00	7.870375e-07	4.289872e-07	3.580503e-07
0.16          	3.607482e-08	2.036435e+00	7.942358e-07	4.331927e-07	3.610431e-07
0.165         	3.654101e-08	2.009886e+00	7.889696e-07	4.310258e-07	3.579438e-07
0.17          	3.687838e-08	1.984954e+00	7.967900e-07	4.352734e-07	3.615166e-07
0.175         	3.709531e-08	1.961445e+00	7.937856e-07	4.339881e-07	3.597975e-07
0.18          	3.720513e-08	1.939296e+00	8.022654e-07	4.383378e-07	3.639276e-07
0.185         	3.721801e-08	1.918317e+00	7.983873e-07	4.364117e-07	3.619757e-07
0.19          	3.714094e-08	1.898508e+00	7.973109e-07	4.357964e-07	3.615145e-07
0.195         	3.698309e-08	1.879728e+00	8.019870e-07	4.379766e-07	3.640104e-07
0.2           	3.675090e-08	1.861922e+00	8.026726e-07	4.380872e-07	3.645854e-07
0.205         	3.645139e-08	1.845037e+00	8.059512e-07	4.394270e-07	3.665242e-07
0.21          	3.609111e-08	1.828956e+00	8.021195e-07	4.371509e-07	3.649686e-07
